Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,065,032,779","1,724,932","15,829,552","2,560,082"
CryptoPunks,"$2,219,339,345","5,489","20,892","3,634"
Bored Ape Yacht Club,"$1,918,212,623","10,878","28,329",
Mutant Ape Yacht Club,"$1,357,836,830","19,663","36,153",
Art Blocks,"$1,234,293,195","28,912","153,656","33,996"
NBA Top Shot,"$990,811,487","427,724","19,456,210","679,149"
CloneX,"$619,974,876","8,533","16,355",
Azuki,"$615,624,302","12,036","25,623",
VeeFriends,"$535,038,866","6,123","13,471",
Moonbirds,"$481,046,853","11,716","15,868",
Meebits,"$480,996,069","10,997","30,685",
Doodles,"$412,908,187","11,536","23,059",
The Sandbox,"$370,969,230","24,617","54,742","19,035"
Cool Cats,"$348,832,369","11,119","29,323",
Bored Ape Kennel Club,"$315,413,269","9,451","21,775",
Sorare,"$294,429,218","88,948","2,051,209","119,559"
Loot,"$278,840,596","4,085","11,438",
World Of Women,"$234,262,730","10,114","25,561",
CrypToadz,"$232,171,691","9,136","20,368","4,223"
Crabada,"$221,903,589","9,467","175,762",
Parallel Alpha,"$218,796,855","21,521","102,141",
CyberKongz,"$197,460,955","3,846","6,511",
Farmers World,"$196,261,760","69,684","4,734,683","205,035"
Bored Ape Chemistry Club,"$183,659,618","2,114","3,720",
Solana Monkey Business,"$183,066,416","4,129","10,013","6,348"
MekaVerse,"$175,025,000","6,567","13,456","4,763"
Pudgy Penguins,"$171,976,035","12,642","32,750","4,463"
PUNKS Comic,"$169,548,880","4,464","11,412","3,551"
Zed Horse,"$167,891,325","66,958","435,505",
0N1 Force,"$159,126,162","9,025","19,834","4,267"
HAPE PRIME,"$155,585,116","6,157","10,751",
NFT Worlds,"$147,079,324","8,260","19,122",
Zed Run,"$140,585,994","62,926","255,098","57,369"
RTFKT MNLTH,"$137,179,470","4,541","7,275",1
Degenerate Ape Academy,"$136,519,451","7,455","20,190","5,124"
RTFKT CloneX Mintvial,"$131,750,402","2,725","5,844",1
adidas Originals,"$128,407,028","24,097","35,496",1
Karafuru,"$126,231,778","9,014","14,086",
Creature World NFT,"$118,461,567","12,159","25,222","6,223"
Curio Cards,"$117,363,269","7,505","23,201",1
FLUF World,"$114,177,951","6,991","20,131",
Invisible Friends,"$112,656,978","7,500","9,623",
mfer,"$111,173,811","11,585","24,827",
Emblem Vault,"$110,337,790","4,991","18,462","5,526"
Beanz,"$105,881,916","3,555","6,894",
PhantaBear,"$105,862,045","8,440","17,060","5,150"
MurakamiFlowers Seed,"$103,575,779","3,617","5,423",1
Prime Ape Planet,"$103,290,744","8,572","16,000",
Cool Pets,"$102,544,451","15,994","25,061",
LOSTPOETS,"$100,702,515","8,563","25,048","5,828"
The Doge Pound,"$96,509,165","8,179","16,153","5,498"
The n project,"$95,542,367","5,160","13,071","1,813"
Lazy Lions,"$94,881,442","11,136","26,611","5,103"
Kaiju Kingz,"$94,191,823","5,590","8,631","3,530"
DeadFellaz,"$92,309,269","12,684","26,133",
World Of Women Galaxy,"$92,096,689","10,853","17,922",
CyberBrokers,"$90,962,232","7,099","15,907",
Vox Collectibles,"$89,817,633","6,842","18,106","3,416"
Hashmasks,"$87,519,930","6,037","19,316","5,224"
Aurory,"$86,966,099","6,598","15,163","3,184"
ALIENFRENS,"$85,974,938","14,585","29,770",
Psychedelics Anonymous Genesis,"$78,737,769","13,923","22,357",
Capsule,"$78,087,373","9,167","27,064",
WebbLand,"$77,566,900","10,587","21,605",
CoolmansUniverse,"$76,554,988","12,280","26,721",
Sneaky Vampire Syndicate,"$74,189,013","6,856","15,666","4,741"
Sup Ducks,"$73,742,980","7,756","18,783","3,589"
Impostors Genesis,"$73,123,077","9,127","14,276",
Mooncats,"$72,680,871","8,851","24,275","6,527"
Adam Bomb Squad,"$71,197,148","14,254","38,351",
V1 Cryptopunks Wrapped,"$70,270,158",789,"1,751",
SuperNormalbyZipcy,"$69,949,554","5,555","12,161",
888 Inner Circle,"$69,425,006","6,370","14,524",1
Hero,"$67,408,548","7,340","12,320",
Pixelmon,"$67,327,218","9,098","16,183",
Frontier Game,"$65,982,139","8,023","20,147",
CryptoSkulls,"$65,520,610","9,507","21,949",
Lives of Asuna,"$64,946,427","15,602","25,622",
Metroverse City Block,"$64,638,424","7,166","17,832",
Gutter Cat Gang,"$63,300,359","2,396","4,548",
MURI,"$62,506,974","16,182","28,645",
Rumble Kong League,"$61,126,411","4,940","12,614","3,205"
The Currency Eth,"$60,857,327","1,629","2,412",
GalacticApes,"$60,652,344","8,028","20,859","3,675"
MutantCats,"$59,976,447","10,150","23,185","4,050"
CryptoPhunksV2,"$59,462,191","4,624","14,526",
Arcade Land,"$59,128,016","8,780","17,692",
FULL SEND METACARD,"$58,651,631","11,659","18,433",
VeeFriends Series 2,"$58,090,558","8,624","14,761",
Wolf Game,"$57,712,129","3,985","8,861","8,104"
Galactic Gecko Space Garage,"$56,675,078","8,846","26,784","4,105"
Anonymice,"$56,193,013","3,897","9,001",
Neo Tokyo Identities,"$56,104,263",823,"1,081","1,869"
Killer GF,"$54,762,048","7,312","15,721",
JRNY NFT Club,"$53,372,721","3,896","6,315","6,255"
Shadowy Super Coder,"$52,557,341","2,864","7,305","1,295"
CryptoBatz by Ozzy Osbourne,"$52,162,783","11,680","16,659",
MetaHero Universe Generative,"$51,942,246","1,696","2,750","3,038"
Lil Heroes,"$51,785,150","4,783","9,111",
Nanopass,"$51,368,329","8,874","12,495",
Kiwami,"$51,332,133","10,937","26,691",
HypeBears,"$51,144,936","17,423","25,835",
Crypto Bull Society,"$51,059,624","6,227","11,839",
Galaxy Eggs,"$49,238,714","8,314","18,345","4,856"
CryptoMories,"$49,024,656","11,706","26,307","5,276"
Robotos Official,"$48,990,285","11,542","23,930","5,667"
Tubby Cats,"$48,718,675","21,041","39,239",
PROOF Collective,"$48,589,802","1,472","1,790",
CryptoKitties,"$48,089,146","116,294","797,286","115,487"
The Shiboshis,"$47,590,174","3,579","9,109","3,680"
Treeverse,"$47,138,540","5,593","12,331","3,648"
Boss Beauties,"$46,753,752","10,185","20,749",
ZombieClub Token,"$46,721,602","6,788","9,902",
Autoglyphs,"$46,605,762",193,359,167
Chain Runners,"$46,428,853","4,989","11,546","3,421"
Desperate ApeWives,"$45,511,839","5,650","13,732","4,441"
My Pet Hooligan,"$44,087,890","8,832","15,922",
ApeKidsClub,"$43,613,299","9,896","21,685",
The Humanoids,"$43,375,767","9,960","22,186","4,826"
Okay Bears,"$43,333,449","5,149","9,574","5,692"
The Sevens,"$42,657,059","6,223","11,921","3,606"
C-01 Official Collection,"$42,353,939","7,036","13,007",
Koala Intelligence Agency,"$42,293,062","8,887","19,051","5,039"
OxyaOriginProject,"$41,328,299","6,075","13,318",
Cryptovoxels,"$40,862,561","2,930","11,332","2,265"
n,"$40,284,255","5,091","12,878",
inbetweeners,"$40,085,026","7,009","13,309",
Forgotten Runes,"$40,066,887","4,579","14,064","2,973"
DeGods,"$39,978,401","3,419","6,734","4,563"
Alien Worlds,"$39,709,745","471,195","5,421,432","3,378,676"
Peaceful Groupies,"$39,498,987","8,901","20,758","3,854"
Pixel Vault Founders DAO,"$38,817,546","2,081","2,927",
Imaginary Ones,"$38,479,769","11,964","15,319",
Akutars,"$38,240,981","1,805","3,365",
the littles NFT,"$37,797,368","9,047","17,881",
The CryptoDads,"$37,647,071","8,145","16,063","7,100"
MOAR by Joan Cornella,"$37,633,078","4,861","7,958",
TheHeartProject,"$37,501,019","11,250","23,072","5,816"
Smilesss,"$36,862,597","9,086","17,086",
Farming Tales,"$36,359,317","9,987","168,268","5,432"
Blitmap,"$36,249,983",442,"1,008",620
Quirkies,"$36,001,328","6,167","14,801",
SolPunks,"$35,737,056","7,453","17,038","4,707"
GEN.ART,"$35,596,143","4,436","8,126",
GENART,"$35,472,254","4,079","7,462","2,384"
Bored Bunny,"$35,407,973","8,088","12,517",
MetaHero Universe DAO Tokens,"$35,279,505","7,482","20,144",1
Metasaurs by Dr. DMT,"$34,539,349","7,711","16,050","5,038"
Bloot,"$34,227,946","6,513","15,370","3,905"
Decentral Ice Poker,"$33,876,828","2,416","7,197",738
Akuma,"$33,190,197","5,310","12,980",
Panini America,"$33,098,005","13,010","649,671","11,594"
OnChainMonkey,"$32,767,787","5,887","17,299",
Tasty Bones,"$32,470,693","5,318","8,507",
Animetas,"$32,465,226","6,986","19,018","4,102"
Portals,"$32,426,301","4,541","8,876","2,925"
More Than Gamers,"$32,314,336","14,801","24,877",
Thug Birdz,"$31,563,990","3,681","7,219","2,157"
Ethereum Name Service,"$31,468,561","10,897","21,954","360,846"
ALPACADABRAZ,"$31,077,534","7,418","14,957","4,375"
Tom Sachs Rocket Factory,"$30,746,911",796,"2,730",217
WonderPals,"$30,465,215","14,301","20,709",
MoodRollers,"$30,187,279","7,455","14,019",
Creepz Shapeshifters,"$29,985,138","2,921","12,142",
3Landers,"$29,933,276","3,541","5,131","3,333"
Party Ape Billionaire Club,"$29,797,825","6,360","13,642","4,498"
CryptoJanky,"$29,633,909","9,009","17,159",
Nifty League DEGENs,"$29,531,611","8,508","24,083",
Winter Bears,"$29,421,389","10,293","22,604","4,633"
SlimHoods,"$29,366,721","7,996","14,315",
Edenhorde,"$29,322,689","4,519","12,887",
Janky Heist,"$29,001,781","8,930","16,578","5,793"
Shinsekai,"$28,888,515","8,677","19,618",
EveraiDuo,"$28,504,785","9,256","19,254",
Dour Darcels,"$28,212,678","8,907","20,201",
Antonym,"$27,803,416","10,491","17,591",
Meerkat Millionaires Country Club,"$27,204,592","7,681","15,121","4,452"
Slotie,"$27,118,246","5,271","12,090",
BAPETAVERSE,"$26,389,132","4,136","9,122",
Galaxy Fight Club,"$26,293,447","5,046","17,503","2,710"
X Rabbits Club,"$25,857,916","3,890","8,848","3,151"
NFL All Day,"$25,706,447","31,880","515,703","90,408"
Gutter Juice,"$25,590,575","8,718","25,498",
Crypto Unicorns,"$25,273,238","2,762","10,281",
Reptile Armoury,"$25,137,631","3,601","13,602",
EightBit,"$24,935,698","6,645","16,821",
BugBears,"$24,585,652","8,253","20,127","6,062"
Bold Badgers,"$24,515,787","6,296","18,715","3,999"
LinksDAO,"$24,461,001","8,285","12,156",
Cool Monkes,"$24,322,862","7,514","17,488",
The Other Side,"$24,123,397","12,671","18,734",
CatBloxGenesis,"$23,921,951","8,291","17,718",
The Wicked Craniums,"$23,685,535","8,040","22,468","4,756"
Degen Toonz,"$23,619,568","7,804","18,125",
MetaLegends,"$23,586,962","7,228","14,046",
Purrnelopes Country Club,"$23,540,441","2,542","9,215","3,565"
VaynerSports Pass,"$23,182,985","7,667","13,232",
Waves Ducks,"$23,149,718","1,695","16,833","1,380"
Frakt,"$22,993,659","4,691","13,155","1,310"
Cupcats Official,"$22,955,663","3,491","9,290","1,826"
Akutar Mint Pass,"$22,523,018","2,620","4,563",
The Vogu Collective,"$22,466,752","4,610","11,785","2,803"
Voxies,"$22,380,297","2,026","7,064","1,766"
FoxFam,"$22,238,074","7,081","16,986","3,647"
The Currency Palm,"$22,200,576",415,"1,129","6,977"
FOMO MOFOS,"$21,887,163","6,414","12,969",
Solsteads,"$21,825,719","2,739","5,008","1,407"
Stoner Cats,"$21,788,880","5,570","10,181","5,020"
Dippies,"$21,740,799","9,883","18,709",
Candy Digital NFT,"$21,633,002","14,220","180,073",
Habbo Avatars,"$21,582,973","5,491","12,410","4,370"
Deafbeef,"$21,303,902",99,146,115
CryptoonGoonz,"$21,284,700","6,655","12,021","3,938"
hic et nunc,"$21,027,854","46,041","1,281,436","34,360"
Bastard Gan Punks V2,"$20,941,527","3,503","11,150","2,905"
Acrocalypse,"$20,919,743","7,214","15,892",
Sipherian Surge,"$20,860,089","6,007","14,327","3,687"
The Art of Seasons,"$20,816,990","7,080","15,850",
Space Punks Club,"$20,625,537","6,111","13,861","4,294"
Gods Unchained,"$20,280,002","3,575","386,406","15,261"
DystoPunks V2,"$20,214,575","1,301","3,106",672
Starcatchers,"$20,173,650","7,226","13,554",
Divine Anarchy,"$19,841,811","8,009","15,611",
Gutter Rats,"$19,819,984","2,609","4,632",
Jadu Hoverboard,"$19,427,568","6,476","9,732",
FrankenPunks,"$19,382,007","7,597","13,970",
BYOPills,"$19,301,821","5,514","13,423","3,270"
Catalina Whale Mixer,"$19,139,396","5,093","11,565","2,098"
Wool Pouch,"$19,118,732","1,886","4,858","2,934"
CryptoArte,"$18,836,142","4,661","10,743","3,507"
Los Muertos,"$18,643,985","9,881","20,785",
R Planet,"$18,471,698","12,675","120,629","13,348"
Monkey Bet DAO,"$18,160,539","7,102","15,052","4,074"
The Yakuza Cats Society,"$18,016,457","6,375","15,305","3,434"
Terraforms,"$17,947,874","3,863","10,675",
Incognito,"$17,782,826","5,429","16,566","3,237"
Mike Tyson NFT,"$17,655,136",774,"1,446",319
HOWLERZ,"$17,653,273","3,474","7,781",
The Doggies,"$17,640,568","5,427","9,640",
Cets on Crek,"$17,393,678","5,843","11,388","3,926"
WVRPS by Warpsound,"$17,385,794","6,713","14,552",
Loser Club,"$17,192,268","10,046","21,699",
BYOLand,"$17,103,065","3,516","7,001",
Llamaverse Genesis,"$17,102,881","3,633","4,741",
Illuminati,"$17,019,430","5,752","11,376",
ShinseiGalverse,"$16,925,723","5,562","12,712",
TRAITORS by XCOPY,"$16,866,786",901,"1,200",
Topps MLB,"$16,840,826","16,955","619,824","35,669"
Jenkins the Valet The Writers Room,"$16,679,963","4,590","9,893","2,997"
Lonely Alien Space Club,"$16,627,719","5,530","14,360","4,032"
